Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	Time Steps	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
95	941.9653	1142.161	4214.7866	14.97467	1816.7028	884.7523	3126.6426	726.7424	228.86363	415.1	474999	445.08783	67.573265	637.71844	-474.0639	-447.9377	181.07848	4073.862228155136
96	256.2157	507.6558	2171.0022	-6.4595585	942.86096	907.06854	2578.7786	58.198578	82.20339	223.6	479999	445.38376	66.809425	640.3666	-433.22632	-448.2431	177.798	4119.733372926712
97	1015.5137	952.69525	3401.561	61.878765	2195.3572	1504.3895	4572.7153	845.0923	251.4	479.1	484999	444.5518	67.54076	635.92236	-666.68243	-447.3258	175.68742	4166.232995271683
98	1930.1543	1167.0507	3899.8882	300.7214	2049.5466	1495.7439	4837.9688	52.85017	464.9	512.3	489999	443.92242	67.20243	642.8281	-404.32013	-446.7305	167.0646	4212.49022436142
99	1420.0798	996.67303	3601.08	33.186134	1086.5223	831.3066	2633.1194	122.83469	363.2	280.9	494999	445.95633	67.62686	693.4437	-331.91736	-448.73404	169.20851	4258.0458562374115
100	558.35626	612.62524	2295.5051	30.064922	1612.7797	1792.7361	4387.5625	18.636131	153.57576	432.8	499999	446.93628	67.60746	644.5488	-451.38147	-449.69736	181.08235	4304.384544849396
101	1045.6586	1188.8964	3832.4363	48.377533	2977.91	1164.9077	4927.2603	1097.192	273.22223	637.4	504999	448.04425	67.89794	648.45135	-294.4978	-450.77884	180.95001	4351.249492406845
102	1468.1912	1149.2892	3917.5208	321.2676	1132.5322	1176.6111	3375.656	22.54086	365.46155	338.2	509999	446.46454	67.7894	637.16864	-369.98257	-449.1396	176.22942	4397.576524972916
103	811.20074	919.53455	3984.9414	64.38263	1017.3136	865.7096	2754.0947	45.828194	221.47826	272.8	514999	447.5594	67.53511	631.92236	-264.7335	-450.46304	168.1246	4443.403105735779
104	885.12714	945.4769	2826.4417	-8.537675	881.3908	801.5057	2971.3096	94.41775	232.04546	263.2	519999	449.6483	67.48901	628.0203	-215.3055	-452.36816	188.01068	4489.670360088348
105	1058.4443	1081.318	3118.4597	28.958023	1153.2604	1530.3125	4401.626	129.17776	268.1875	282.8	524999	448.18246	67.81651	628.8198	-456.41718	-450.8039	168.14922	4535.737009048462
106	1503.8241	1385.7911	4015.9038	42.345325	2032.5961	1333.3766	3959.7493	237.8165	358.6875	465.1	529999	447.30704	67.705086	630.269	-233.43259	-449.965	170.2682	4581.713402032852
107	1145.668	1269.6189	4266.891	150.8177	1997.9564	945.8834	4609.96	1157.2003	307.4375	447.7	534999	448.9501	67.897675	632.44476	-255.56041	-451.6493	158.78506	4627.985643863678
108	1151.602	1101.8268	4305.8037	148.31828	501.17276	384.8282	1596.5643	259.11066	297.94116	147.5	539999	451.3418	69.574005	636.64307	-360.07343	-454.03134	173.56798	4673.026151180267
109	600.66394	674.44824	2165.7395	16.186348	2057.7588	1374.103	3729.5454	400.57205	159.93103	534.5	544999	453.24805	70.68194	679.6772	-217.7971	-455.81656	166.99637	4719.158528089523
110	1864.287	1281.9104	4542.6724	49.288944	965.78845	580.16504	2322.5107	226.7452	476.45456	274.7	549999	455.35538	70.23934	647.1081	-316.1725	-458.0967	169.37634	4764.659807920456
111	1486.0125	888.5187	3126.83	189.42519	949.26483	768.60175	2668.0537	63.17152	359.5	239.9	554999	458.01907	67.64696	638.45856	-402.2378	-460.72885	175.07124	4810.34609746933
112	1134.5659	1228.4734	4269.931	33.93721	2617.5142	1222.995	3956.8992	294.86957	290.16666	701.5	559999	457.738	68.60415	637.99304	-300.15872	-460.3595	173.1085	4855.214053153992
113	1333.5544	692.92096	2808.093	271.35312	792.71326	476.3017	1510.8403	212.157	345.35715	192.6	564999	456.4435	69.96315	632.3892	-331.18094	-459.0745	165.84334	4901.232383012772
114	575.4215	538.295	1718.6023	21.412663	1323.8237	1054.9178	4250.0522	364.94394	153.57576	305.7	569999	458.6798	69.66707	632.46277	-307.43704	-461.3334	171.07283	4945.367087125778
115	2492.2039	1453.9199	4607.0537	139.60493	770.546	736.42224	2680.5864	267.74976	549.0	190.8	574999	459.0661	69.94135	643.55994	-335.0086	-461.66556	179.0085	4987.862476110458
116	1700.8746	930.66016	3836.6096	366.0384	2352.7942	1151.6515	3883.1045	361.1448	392.18182	624.3	579999	460.27625	70.081314	638.3083	-385.7946	-462.9592	168.19955	5034.736959695816
117	1368.4658	1508.8137	4484.4	65.23013	2506.3079	1448.0537	4987.5312	333.60825	331.75	524.0	584999	462.16727	69.09961	639.14935	-298.73282	-464.75226	170.44334	5079.326549291611
118	1301.6005	1287.6687	4741.152	32.882572	1769.7504	1160.5613	4392.6636	331.12225	323.25	388.0	589999	460.96957	70.53842	692.0823	-300.08865	-463.4883	175.75432	5125.922549724579
119	1770.7644	1264.0857	4461.964	146.59468	1732.0358	1284.4331	4016.5156	238.28232	407.46155	403.3	594999	461.2638	70.48145	749.64624	-292.70956	-463.8541	169.99236	5172.624853372574
120	1122.6149	1203.1382	5259.518	44.356625	1760.4059	991.28345	4334.074	403.19254	255.73685	425.8	599999	461.5632	69.97257	864.78064	-460.467	-464.0641	169.41306	5218.928951501846
121	1861.4408	1185.5486	4579.0874	377.7939	1502.4622	989.38	3711.9727	118.41112	434.5	340.9	604999	459.78156	69.536896	952.71313	-212.11668	-462.137	154.87468	5265.299572467804
122	1277.4352	1176.4153	3696.8008	39.687378	518.8648	516.23804	1422.1652	26.389946	293.88235	135.4	609999	458.91965	69.02623	1145.4769	-375.02704	-461.35974	164.53757	5310.72146987915
123	1499.4148	1498.4917	4458.838	35.210583	1243.7495	1465.6616	4450.356	88.92368	366.69232	308.7	614999	459.51053	66.366745	1443.3022	-388.7928	-461.874	166.39737	5356.959183454514
124	93.28589	326.78693	2449.3596	-4.299314	1927.2045	957.09033	3375.3381	698.89294	35.882355	593.3	619999	465.3657	64.52651	2518.9573	-307.96985	-468.52335	273.6667	5403.3667068481445
125	53.536526	462.30316	3312.1616	-136.63817	-35.15466	20.21385	-9.070656	-70.17323	100.31373	93.6	624999	501.38272	80.230095	1947.1917	-617.96844	-507.9661	320.0507	5449.197147846222
126	188.43025	411.20618	1248.4767	-101.66657	552.0666	446.46075	990.9559	-2.284565	283.5	628.6	629999	545.39557	92.55676	959.1161	-668.5546	-550.6879	308.4936	5496.202862501144
127	350.72702	436.4237	953.361	-28.704348	285.02588	235.0823	942.4561	61.12443	437.18182	341.0	634999	552.7814	83.402084	766.0432	-485.16492	-556.94116	294.86597	5541.832013130188
128	211.66525	357.68964	1134.1334	-134.43105	128.22055	136.60928	415.17615	-18.141459	273.55	195.7	639999	544.8477	76.3318	712.94916	-717.9166	-548.2524	262.80286	5587.7596118450165
129	281.8147	217.5793	1139.22	41.18132	487.26483	166.65816	873.6414	336.1344	159.66667	188.9	644999	526.2997	78.069435	795.1836	-721.0498	-528.97906	232.4685	5633.760108470917
130	849.5153	594.6313	2297.314	146.40964	1479.877	507.01923	2526.729	783.52826	278.1111	364.5	649999	508.68243	77.03674	1297.0605	-521.8914	-511.20245	228.67725	5679.981152534485
131	1001.57336	894.9135	3305.5515	103.42182	725.7887	464.22992	1580.2725	100.956375	283.77777	230.7	654999	496.08548	74.367584	972.6807	-426.887	-498.6895	207.88322	5725.523078203201
132	848.9866	730.71796	3368.8835	109.2694	1307.0212	1158.037	3808.0156	128.71077	259.10526	306.5	659999	485.23474	74.95511	865.7816	-291.72385	-487.644	199.46237	5771.901656866074
133	773.2724	664.9245	2650.183	55.921173	2580.1104	1169.8726	4892.5786	1398.5372	212.625	582.4	664999	476.1483	74.96067	662.2983	-326.75635	-478.6352	210.24895	5815.210293292999
134	1191.3188	1356.8153	4117.013	44.160862	1184.294	1083.2153	3380.7925	59.532722	306.06668	321.8	669999	469.34158	74.24435	643.6125	-404.87924	-471.7243	169.05138	5861.213057756424
135	1406.2488	1320.0922	4084.6436	82.8513	1261.7308	512.55096	1883.3878	539.8126	379.6154	322.2	674999	464.2685	73.830444	647.18195	-404.8282	-466.60416	178.56927	5907.142091751099
136	1427.392	1252.3684	4422.868	43.288204	2064.5444	1150.7034	3819.0808	365.84274	349.2	491.7	679999	461.0645	74.44994	636.45764	-430.22574	-463.4692	186.06145	5954.023092031479
137	1661.179	1511.105	4842.5835	215.39743	1104.6227	826.58716	2807.0657	266.68555	399.76923	297.4	684999	459.11765	74.48732	636.04614	-414.69553	-461.5067	172.64592	6000.3200507164
138	1382.2848	1125.9713	4356.1133	24.262245	1539.951	696.7951	2813.3044	493.0301	330.2	372.6	689999	458.34073	74.59749	634.5345	-490.36377	-460.6808	172.58391	6046.8026921749115
