Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	Time Steps	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
98	1498.7415	962.00006	3321.0059	67.69826	926.75696	1181.6884	3399.106	40.157387	498.5	349.5	489999	470.80106	98.258385	665.7715	-430.35342	-476.0933	386.66766	2438.698316335678
99	1784.2799	1074.0706	3350.6045	195.5383	1805.1682	823.02106	3305.4905	655.4464	566.44446	592.6	494999	466.3516	95.9585	664.3434	-291.88025	-471.48804	373.19727	2465.028450489044
100	1148.3745	1161.6034	3241.1565	58.904778	1277.9905	573.07837	2797.2148	787.7719	379.3846	385.6	499999	465.05783	94.20865	664.51776	-423.06805	-470.3345	378.7371	2490.1554605960846
101	1202.4673	940.0988	3192.9392	61.444447	2444.8665	957.7298	3256.603	174.24828	396.91666	814.6	504999	464.75613	93.22523	653.8512	-497.92615	-469.9806	357.94504	2517.7034499645233
102	2111.0254	905.47925	3346.5476	1027.7192	2352.836	1110.7208	4610.358	1128.9601	655.8571	579.6	509999	461.26877	91.463486	642.1326	-497.02084	-466.3075	355.8512	2544.6440105438232
103	1950.8705	1439.9266	3998.3901	55.409412	2826.309	844.6318	3979.4612	1426.5205	562.3	760.2	514999	462.03464	91.1133	655.9168	-398.4095	-467.1409	344.3903	2571.933544397354
104	1838.6755	1057.1901	4137.9946	274.29672	3012.351	1035.179	4305.6973	1231.9056	526.44446	777.1	519999	462.72238	90.2344	656.31494	-409.45975	-467.7166	354.41928	2599.2855608463287
105	1232.173	1085.6615	3273.8638	38.076893	1976.6887	1040.97	4059.4275	445.6045	358.93332	544.4	524999	461.15817	89.900154	684.711	-576.55	-465.9878	328.69305	2625.8060777187347
106	1320.7952	763.9002	2751.0847	36.114838	2289.476	959.2619	4057.9045	606.93384	397.58334	527.4	529999	458.4507	89.45967	657.31244	-393.02298	-463.2558	345.1662	2652.25098156929
107	2316.531	965.1862	4341.59	1100.4751	981.13586	1205.4253	3376.4365	1.895872	576.0	332.1	534999	457.66858	89.02849	693.04736	-375.49323	-462.50815	333.73648	2678.002644300461
108	1321.9529	1130.7815	4249.1323	21.428335	774.8608	632.91705	2118.6978	115.941246	373.0	228.7	539999	457.45563	88.5455	689.9133	-312.99167	-462.3237	333.43274	2703.7327415943146
109	1040.1284	1196.411	3590.3264	17.7549	1051.2887	908.1764	3046.417	28.635136	335.13333	418.0	544999	459.90234	88.36775	701.44055	-414.1126	-464.8374	346.0687	2729.492695569992
110	1252.244	838.42236	3239.2302	245.00969	1492.4885	559.782	2817.6052	659.05786	455.0	430.2	549999	461.4291	89.40813	700.44025	-341.7896	-466.2857	345.98004	2756.124782562256
111	1825.4309	1181.3627	4383.4077	34.664917	2161.6804	1517.5952	3934.6184	144.08685	471.18182	626.4	554999	461.03003	90.17553	712.16626	-419.00616	-465.78806	342.1356	2782.827428817749
